sku,desc,wholesale_cost,dims_cm
"PET3799","Vegan Senior Cat Food, Beef & Beef",1.21,15.6|15.5|3.2
"HOM3808","Vintage Radio (amber)",25.16,19.4|18.3|11.6
"HOM3815","Power Widget",5.21,13.0|3.0|2.5
"HOM3822","Vintage Timer (yellow)",12.06,14.4|13.5|11.8
"DLI3826","Broccoli Cabbage Roll",0.89,17.1|16.3|1.5
"TOY3829","Handmade Hebrew Blocks",6.41,14.3|11.4|9.8
"HOM3830","Mechanical Machine",26.80,13.7|13.5|6.8
"TOY3832","Marvel Fidget Toy",1.39,18.6|11.4|0.2
"TOY3843","Automatic Toy Soldier",9.88,14.4|6.1|3.4
"CMP3869","Network Laptop",745.25,18.8|16.3|9.2
"HOM3885","Toy Timer (white)",4.72,16.2|12.4|8.3
"COL3894","Noah's Jersey (blue)",9.91,9.3|7.2|2.0
"HOM3894","Toy Toaster (red)",14.86,12.8|10.7|9.9
"HOM3898","Mini Blender (blue)",49.68,18.3|15.5|2.0
"HOM3900","Vintage Widget (orange)",7.28,6.6|5.6|4.6
"HOM3907","Mechanical Crockpot",68.65,11.7|11.1|2.9
"HOM3910","Vintage Mixer (orange)",139.18,15.1|12.6|1.8
"PET3921","Adult Mouse Food",0.48,7.6|2.7|0.9
"HOM3921","Mini Toaster (yellow)",20.65,18.5|13.7|10.4
"TOY3928","Marvel Train",17.52,17.1|6.6|4.7
"HOM3928","Mini Mixer",93.51,10.9|4.4|3.6
"HOM3930","Mini Blender (purple)",49.41,17.5|15.8|13.6
"BKY3940","Sesame Twist",1.12,15.9|9.5|1.2
"TOY3956","Vintage Hebrew Blocks",5.21,16.8|2.4|2.2
"COL3963","Noah's Action Figure (green)",14.67,20.0|16.3|5.4
"COL3967","Noah's Jersey (orange)",9.58,18.9|18.2|10.9
"TOY3979","Mini Ball",3.55,15.1|9.1|5.9
"DLI3986","Dilled Salmon Salad",0.96,19.1|17.8|7.2
"TOY3991","Marvel Yoyo",8.37,16.6|14.5|12.0
"TOY3992","Mega Blocks",4.23,8.8|5.1|3.6
"COL3997","Noah's Bobblehead (azure)",5.02,17.8|8.6|8.0
"HOM4003","Vintage Bicycle (white)",107.43,14.7|11.1|2.9
"HOM4032","Vintage Crockpot (azure)",108.07,13.5|13.3|2.3
"PET4033","Wet Senior Cat Food, Tuna & Tuna",0.99,13.2|9.0|7.1
"HOM4035","Vintage Machine (red)",48.55,7.8|2.3|0.9
"HOM4036","Vintage Crockpot (blue)",82.21,18.1|16.6|2.5
"TOY4037","Tonka Crayons",3.19,2.9|1.7|0.2
"BKY4041","Sesame Bialy",0.79,13.5|8.0|3.1
"TOY4043","Automatic Airplane",12.15,19.3|17.2|2.7
"HOM4069","Vintage Crockpot (white)",96.69,14.3|13.9|8.4
"HOM4070","Mini Mixer (white)",110.77,6.6|4.8|0.7
"DLI4084","Smoked Herring Salad",1.11,12.2|7.5|6.8
"HOM4084","Vintage Mixer (puce)",161.25,15.2|8.6|2.8
"HOM4097","Automatic Bicycle",71.56,15.0|8.9|3.2
"TOY4117","Transformers Stickers",1.24,19.8|8.5|7.4
"HOM4134","Vintage Bicycle (magenta)",108.82,14.7|9.0|7.1
"HOM4140","Toy Radio (green)",15.75,9.6|7.5|2.8
"DLI4157","Salted Egg Salad",1.25,9.9|4.1|1.6
"HOM4157","Handmade Radio (purple)",37.98,11.3|10.7|4.3
"COL4171","Noah's Gift Box (red)",3.42,13.8|13.5|4.8
"HOM4176","Toy Bicycle (purple)",50.41,19.5|19.3|19.1
"HOM4182","Mini Machine (mauve)",29.96,13.3|7.0|4.0
"TOY4186","Toy Silly Bandz",2.17,19.2|14.1|2.0
"HOM4187","Mini Widget (puce)",4.80,13.1|7.9|5.9
"DLI4203","Pickled Egg Sandwich",0.95,15.4|8.2|8.0
"HOM4206","Mini Timer (magenta)",6.50,9.5|9.0|3.8
"COL4211","Noah's Action Figure (mauve)",16.31,8.4|8.0|1.6
"HOM4227","Toy Machine (azure)",23.96,16.4|12.7|5.5
"TOY4228","Transformers Crayons",3.41,16.5|9.5|3.2
"DLI4232","Pickled Salmon Sandwich",0.84,10.4|6.8|6.2
"TOY4245","Jigsaw Puzzle (Garden of Eden)",0.51,19.6|11.6|9.1
"HOM4254","Toy Toaster (green)",15.52,6.0|2.7|2.5
"HOM4257","Handmade Machine (puce)",67.30,17.0|7.6|4.8
"TOY4275","Mechanical Airplane",12.09,18.2|17.3|1.5
"TOY4287","Ultra Board Game",15.65,17.5|2.5|0.2
"HOM4294","Mini Mixer (red)",109.90,13.0|12.7|4.8
"HOM4303","Mini Toaster (red)",22.57,17.1|10.9|9.0
"HOM4337","Toy Crockpot (amber)",50.37,19.2|6.4|5.2
"HOM4341","Toy Timer (yellow)",5.15,13.5|6.7|3.5
"PET4342","Bird Food",0.70,16.6|10.4|5.4
"HOM4346","Mini Toaster (orange)",24.80,18.5|18.1|13.5
"COL4359","Noah's Poster (yellow)",4.13,18.6|15.6|5.3
"HOM4362","Vintage Machine (yellow)",38.58,14.9|7.2|1.2
"HOM4371","Toy Mixer (amber)",56.18,17.4|11.1|1.0
"HOM4400","Manual Mixer",121.85,9.7|9.7|9.0
"PET4404","Wet Cat Food, Beef & Beef",1.07,18.6|14.3|11.9
"HOM4427","Vintage Widget (white)",5.96,17.0|14.6|4.2
"TOY4432","Lego Doll",12.25,18.7|15.4|10.8
"TOY4439","Handmade Stickers",2.24,17.9|17.7|0.6
"HOM4442","Handmade Machine (white)",56.53,18.4|14.1|8.5
"HOM4446","Vintage Timer (purple)",9.84,19.7|2.7|2.2
"COL4473","Noah's Lunchbox (orange)",10.42,9.9|6.4|1.2
"PET4479","Mouse",0.41,16.6|3.9|2.8
"TOY4485","Electric Dreidel",3.22,17.2|5.4|1.9
"PET4517","Wet Adult Cat Food, Pumpkin & Pumpkin",1.04,9.8|9.5|1.9
"HOM4519","Vintage Timer (puce)",10.69,17.3|6.4|2.8
"TOY4521","Super Airplane",13.55,9.6|6.6|6.2
"HOM4525","Mini Machine (orange)",27.20,11.6|4.9|4.8
"TOY4540","Electric Airplane",11.66,14.6|9.0|2.2
"TOY4541","Mega Ball",2.87,12.7|9.3|6.1
"COL4553","Noah's Lunchbox (white)",10.90,8.7|8.4|4.2
"HOM4598","Mini Bicycle (magenta)",79.34,15.8|13.8|5.9
"COL4605","Noah's Action Figure (yellow)",13.43,16.4|11.3|10.5
"PET4624","Dry Senior Cat Food, Duck & Duck",0.97,19.7|16.5|13.9
"TOY4625","Manual Stickers",1.06,17.7|9.9|1.1
"COL4629","Noah's Lunchbox (green)",10.19,9.6|9.2|7.2
"HOM4632","Toy Toaster (purple)",12.63,12.7|12.6|2.2
"HOM4633","Handmade Toaster",39.75,16.5|11.1|10.8
"HOM4636","Toy Mixer (white)",59.66,17.7|7.5|4.6
"TOY4642","Lego Yoyo",5.91,19.9|18.6|3.4
"HOM4669","Handmade Bicycle",131.96,14.7|6.8|1.7
"HOM4696","Vintage Timer",12.91,14.8|10.2|7.6
"PET4700","Wet Senior Cat Food, Salmon & Salmon",0.95,13.6|11.2|5.4
"TOY4704","Mechanical Slinky",3.23,5.8|2.1|1.2
"TOY4721","Toy Ball",1.91,17.1|11.3|2.0
"CMP4723","Bluetooth Phone",202.34,9.7|3.4|2.0
"TOY4729","Power Silly Bandz",2.89,9.5|3.3|0.1
"TOY4738","Ultra Stickers",1.09,12.0|5.0|3.6
"HOM4741","Vintage Blender (blue)",74.65,13.7|5.2|0.5
"HOM4743","Vintage Radio (red)",33.42,17.3|7.2|6.5
"HOM4744","Vintage Radio",30.82,19.2|8.7|8.0
"HOM4776","Toy Crockpot (orange)",50.31,18.0|4.0|1.0
"DLI4784","Pickled Salmon Salad",0.99,18.4|13.1|11.2
"DLI4787","Salted Cucumber Salad",1.03,18.0|13.1|11.0
"TOY4807","Ultra Train",14.21,14.9|13.7|4.4
"TOY4844","Mega Stickers",0.83,14.0|8.3|4.7
"DLI4850","Kasha Latke",1.20,18.4|11.4|11.3
"HOM4856","Mini Toaster (purple)",18.23,16.1|10.5|0.6
"COL4877","Noah's Poster (magenta)",3.68,7.8|6.3|1.4
"DLI4892","Kasha Blintz",1.05,18.0|17.4|8.2
"HOM4906","Automatic Widget",4.65,17.7|5.7|4.9
"CMP4915","Wireless Laptop",682.67,14.6|12.4|3.6
"TOY4922","Manual Toy Soldier",9.37,17.7|17.2|9.2
"TOY4934","Handmade Airplane",26.98,9.8|8.3|3.8
"HOM4936","Toy Mixer (puce)",69.85,19.4|11.8|0.2
"HOM4950","Mini Crockpot (azure)",89.98,5.7|4.2|0.1
"DLI4954","Salted Beet Sandwich",1.09,19.4|15.9|7.3
"TOY4973","Power Stickers",1.01,16.3|12.1|0.2
"TOY4977","Electric Yoyo",5.56,17.6|17.6|12.3
"HOM4994","Toy Timer",5.16,13.6|8.7|1.5
"HOM4998","Mini Crockpot (orange)",70.35,19.6|13.7|7.8
"PET5003","Senior Rat Food",0.51,20.0|7.1|2.6
"TOY5027","Star Wars Stickers",1.89,12.5|8.2|7.3
"PET5030","Vegan Senior Cat Food, Tuna & Tuna",1.67,17.7|1.2|0.3
"HOM5030","Mini Mixer (azure)",100.82,18.6|13.3|9.1
"HOM5043","Toy Machine (blue)",19.26,17.7|17.0|8.3
"TOY5047","Vintage Slinky",4.78,10.4|6.9|6.3
"COL5051","Noah's Jewelry (white)",33.56,19.2|18.9|7.6
"DLI5055","Smoked Cucumber Sandwich",0.83,13.0|4.3|1.3
"TOY5061","Manual Hebrew Blocks",3.00,7.9|3.6|0.7
"HOM5061","Mini Blender (green)",51.84,9.5|4.8|1.0
"HOM5063","Mini Mixer (purple)",111.12,12.3|9.5|5.8
"TOY5066","Transformers Blocks",4.96,16.1|14.0|13.2
"HOM5066","Vintage Widget",6.51,19.5|12.5|3.3
"COL5068","Noah's Jersey (green)",13.15,17.5|10.4|3.0
"TOY5077","Vintage Toy Soldier",18.68,11.6|10.4|2.3
"HOM5078","Toy Widget (amber)",3.64,16.2|7.5|2.4
"CMP5082","Cellular Webcam",28.47,14.8|5.7|4.4
"PET5092","Wet Senior Cat Food, Pumpkin & Pumpkin",0.96,14.8|9.0|0.2
"BKY5093","Poppyseed Mandelbrot",0.94,13.8|12.7|1.4
"TOY5102","Handmade Slinky",5.76,10.5|4.7|0.4
"PET5109","Dry Senior Cat Food, Salmon & Salmon",1.03,14.2|12.3|8.7
"TOY5113","Manual Slinky",2.95,16.9|11.5|5.2
"HOM5118","Ultra Radio",19.72,9.9|2.3|0.8
"HOM5135","Mini Machine (blue)",32.51,16.8|9.7|3.0
"DLI5177","Pickled Cabbage Salad",1.14,8.8|7.2|5.2
"HOM5180","Ultra Blender",51.10,13.7|8.3|2.7
"HOM5186","Mini Blender (yellow)",46.36,18.2|17.9|14.5
"DLI5197","Smoked Cucumber Salad",1.05,17.4|12.2|8.2
"HOM5215","Ultra Machine",32.31,14.5|12.4|4.8
"PET5221","Guinea Pig",0.48,10.0|8.6|6.5
"TOY5221","Handmade Fidget Toy",2.07,8.2|4.8|2.5
"HOM5251","Toy Bicycle (azure)",47.61,11.7|11.6|0.9
"HOM5252","Vintage Toaster (orange)",29.69,19.9|11.8|8.1
"CMP5254","Wireless Monitor",116.00,12.2|11.4|7.9
"BKY5266","Raspberry Hamentash",1.13,19.5|17.3|9.4
"HOM5271","Mechanical Radio",22.30,11.0|6.4|5.4
"TOY5275","Automatic Hebrew Blocks",2.78,14.5|13.2|0.9
"HOM5275","Manual Toaster",19.87,12.7|8.2|6.9
"PET5280","Vegan Senior Cat Food, Salmon & Salmon",1.64,19.0|16.8|6.9
"PET5288","Gluten-free Adult Cat Food, Tuna & Tuna",1.52,12.9|1.3|0.4
"HOM5290","Automatic Radio",20.87,8.9|8.6|5.7
"TOY5294","Star Wars Silly Bandz",6.42,16.7|14.5|1.4
"PET5298","Dry Adult Cat Food, Duck & Duck",1.21,17.4|12.4|1.4
"HOM5322","Toy Timer (orange)",5.45,19.4|10.1|0.9
"HOM5332","Handmade Radio",41.41,16.3|13.8|3.5
"HOM5333","Toy Widget (green)",3.80,15.6|15.3|4.5
"HOM5336","Handmade Machine (magenta)",51.66,16.8|4.7|2.2
"HOM5339","Mini Widget (amber)",4.22,12.0|3.6|3.1
"CMP5352","Womens Webcam",28.35,11.6|1.3|0.3
"CMP5361","Cellular Modem",78.49,16.2|6.2|4.1
"TOY5365","Transformers Toy Soldier",11.49,14.4|12.1|10.2
"COL5379","Noah's Action Figure (magenta)",14.99,12.2|6.1|5.8
"COL5404","Noah's Lunchbox (yellow)",8.48,11.8|7.9|2.0
"COL5420","Noah's Jersey (mauve)",9.92,14.4|12.9|6.7
"HOM5424","Vintage Radio (puce)",32.21,15.2|4.4|1.0
"PET5427","Wet Cat Food, Tuna & Tuna",0.96,13.8|8.9|0.3
"COL5436","Noah's Jersey (magenta)",10.44,17.4|10.3|4.0
"TOY5441","Transformers Slinky",3.50,19.3|17.0|0.1
"TOY5443","Super Blocks",4.02,18.4|5.0|4.1
"HOM5444","Mini Toaster",19.59,19.7|4.3|1.8
"PET5445","Hedgehog",0.75,12.3|11.8|11.1
"COL5449","Noah's Action Figure (amber)",15.27,17.9|15.6|7.8
"TOY5455","Toy Airplane",7.95,9.4|7.3|4.4
"PET5469","Dry Cat Food, Turkey & Turkey",1.01,18.9|11.8|2.6
"COL5472","Noah's Jersey (yellow)",11.24,17.5|9.1|0.1
"TOY5487","Vintage Silly Bandz",4.49,9.3|7.8|3.0
"HOM5490","Mini Radio (yellow)",18.19,9.9|9.4|6.5
"HOM5500","Mini Blender (mauve)",45.15,13.7|12.9|4.0
"TOY5512","Automatic Train",11.18,18.7|9.6|2.5
"HOM5531","Mechanical Widget",5.53,16.6|8.3|1.8
"PET5541","Wet Cat Food, Turkey & Turkey",0.98,11.6|11.4|2.6
"HOM5552","Toy Toaster (azure)",13.48,19.2|18.4|18.0
"PET5556","Dry Cat Food, Chicken & Chicken",1.06,17.2|3.9|1.0
"DLI5556","Smoked Herring Sandwich",0.89,16.7|15.0|10.8
"DLI5558","Smoked Cabbage Sandwich",1.02,19.0|12.5|12.1
"PET5559","Gluten-free Cat Food, Salmon & Salmon",1.57,15.9|11.6|5.3
"CMP5583","Bluetooth Laptop",567.80,12.3|9.8|5.5
"TOY5586","Power Ball",2.72,13.5|7.3|2.5
"PET5601","Dry Cat Food, Salmon & Salmon",0.98,16.2|4.2|1.3
"HOM5601","Mini Widget (yellow)",4.82,18.0|17.9|4.2
"HOM5603","Handmade Widget",10.07,18.7|9.5|1.4
"TOY5607","Mini Silly Bandz",2.95,17.7|3.7|2.4
"TOY5614","Ultra Crayons",2.69,16.2|10.4|9.1
"PET5615","Adult Ferret Food",0.52,18.3|15.1|12.4
"HOM5617","Mini Toaster (mauve)",22.18,18.8|11.4|4.5
"PET5627","Senior Guinea Pig Food",0.54,4.8|4.4|3.6
"PET5634","Vegan Cat Food, Shrimp & Shrimp",1.65,19.1|14.4|4.8
"PET5636","Dry Adult Cat Food, Turkey & Turkey",0.93,15.0|7.7|2.1
"DLI5643","Smoked Whitefish Salad",1.10,2.1|1.5|1.4
"TOY5648","Electric Fidget Toy",1.04,17.8|14.6|1.1
"PET5651","Vegan Cat Food, Duck & Duck",1.69,14.9|9.8|9.0
"PET5662","Ferret",0.48,17.5|16.2|0.6
"COL5686","Noah's Poster (green)",3.59,14.4|14.1|12.7
"TOY5694","Jigsaw Puzzle (Noah's Ark)",1.10,19.2|11.7|4.9
"HOM5697","Toy Toaster (puce)",13.03,15.4|6.8|2.7
"HOM5700","Toy Timer (blue)",5.70,17.0|5.6|5.0
"HOM5708","Mini Radio",21.94,18.3|4.8|1.5
"COL5712","Noah's Gift Box (blue)",2.56,19.6|12.7|6.3
"HOM5713","Toy Toaster (orange)",14.64,13.0|10.8|6.3
"HOM5721","Vintage Bicycle (azure)",107.11,16.5|12.4|11.0
"HOM5731","Vintage Machine (green)",47.53,16.8|16.0|12.8
"PET5746","Cat",1.36,19.2|7.0|2.0
"HOM5757","Toy Crockpot (red)",44.94,9.3|5.3|3.6
"TOY5775","Tonka Hebrew Blocks",3.55,18.8|11.1|4.0
"DLI5776","Dilled Whitefish Salad",0.95,18.6|7.8|4.9
"HOM5777","Toy Bicycle (orange)",51.84,19.0|10.4|5.1
"PET5802","Gluten-free Senior Cat Food, Salmon & Salmon",1.44,18.3|5.0|4.2
"HOM5804","Mini Radio (green)",17.87,16.9|12.0|3.3
"TOY5807","Ultra Yoyo",4.88,12.9|12.4|9.0
"TOY5812","Power Airplane",12.49,5.4|4.8|1.8
"HOM5815","Manual Bicycle",71.54,17.4|17.4|6.7
"HOM5829","Mini Timer (puce)",5.94,18.9|18.0|11.5
"HOM5830","Vintage Widget (blue)",7.42,19.8|8.7|7.4
"HOM5834","Mini Bicycle (azure)",58.03,15.5|13.9|12.9
"PET5841","Rat Food",0.54,17.6|16.4|12.6
"TOY5850","Disney Ball",8.32,14.6|6.5|4.0
"TOY5862","Star Wars Yoyo",11.24,14.5|4.5|0.8
"HOM5862","Mini Timer (red)",6.38,19.5|8.0|1.3
"HOM5864","Mechanical Bicycle",74.59,18.0|14.9|8.5
"DLI5878","Broccoli Knish",1.10,14.0|4.8|2.1
"HOM5880","Mini Radio (white)",22.35,9.8|5.1|0.3
"HOM5896","Mini Machine (amber)",28.84,17.1|14.4|7.2
"DLI5908","Salted Beet Salad",1.05,7.4|4.9|1.1
"TOY5916","Handmade Ball",5.88,17.8|17.0|4.3
"TOY5929","Star Wars Doll",18.81,11.7|6.6|6.5
"HOM5930","Toy Mixer (yellow)",60.52,3.2|1.8|1.7
"TOY5938","Marvel Doll",13.62,18.9|14.9|1.9
"TOY5955","Power Fidget Toy",1.05,18.8|11.8|9.2
"HOM5971","Toy Toaster (blue)",14.17,17.2|15.1|7.5
"HOM5972","Toy Widget (azure)",3.67,2.7|1.8|1.3
"HOM5980","Mini Bicycle (puce)",75.64,13.1|5.4|4.5
"TOY6031","Electric Doll",12.25,20.0|9.8|2.3
"PET6037","Dry Senior Cat Food, Pumpkin & Pumpkin",0.97,14.1|12.8|7.9
"TOY6045","Super Yoyo",5.28,18.6|16.3|8.4
"HOM6046","Manual Radio",19.11,12.4|10.5|8.1
"HOM6055","Mini Machine (yellow)",27.97,19.4|18.8|13.0
"TOY6076","Toy Stickers",0.76,0.5|0.4|0.1
"TOY6079","Noah's Yoyo",5.28,8.1|7.9|4.9
"HOM6080","Toy Blender (puce)",33.06,17.4|11.2|0.5
"HOM6087","Toy Bicycle (green)",53.29,15.1|10.9|5.1
"HOM6090","Toy Mixer (red)",79.15,14.3|5.0|2.8
"HOM6125","Vintage Machine (purple)",37.97,11.6|10.7|7.5
"TOY6126","Handmade Blocks",7.56,16.8|11.8|9.5
"HOM6139","Mini Mixer (puce)",102.63,16.9|9.8|7.5
"TOY6152","Mini Board Game",14.08,11.1|9.2|8.4
"HOM6152","Mini Mixer (orange)",99.52,19.1|18.2|2.0
"CMP6161","Cellular Camera",85.66,18.5|13.1|0.4
"HOM6174","Mini Blender (orange)",47.90,10.1|9.2|0.4
"HOM6175","Mega Bicycle",76.33,14.9|10.2|0.5
"TOY6185","Mega Silly Bandz",3.38,16.3|9.2|3.7
"HOM6188","Toy Machine (green)",18.10,19.1|16.3|2.8
"TOY6202","Tonka Airplane",12.21,16.1|6.9|5.9
"HOM6206","Toy Bicycle (blue)",54.32,19.6|5.9|4.5
"HOM6233","Mini Machine (red)",32.25,11.6|7.9|1.2
"HOM6248","Toy Radio (purple)",15.10,10.7|9.1|8.6
"TOY6251","Toy Blocks",3.06,14.9|11.4|2.8
"HOM6258","Toy Radio (magenta)",14.88,16.6|12.6|5.3
"HOM6259","Mini Machine (magenta)",34.07,18.1|13.5|4.7
"TOY6260","Noah's Doll",9.24,18.3|6.4|0.7
"HOM6283","Toy Machine",23.94,13.0|10.5|5.3
"COL6303","Noah's Poster (white)",3.96,13.3|12.4|0.5
"TOY6312","Star Wars Toy Soldier",20.73,12.5|11.1|10.8
"HOM6312","Toy Blender",28.94,13.7|8.8|2.9
"DLI6332","Kasha Cabbage Roll",0.99,14.5|13.6|4.4
"HOM6341","Handmade Machine (green)",56.70,16.5|14.2|11.7
"HOM6344","Mini Timer (orange)",7.06,19.0|11.7|4.6
"TOY6346","Star Wars Blocks",7.79,9.0|5.7|0.8
"DLI6347","Smoked Beet Sandwich",0.90,14.0|13.7|5.2
"TOY6357","Electric Toy Soldier",12.36,17.9|4.5|3.4
"HOM6358","Mini Toaster (white)",19.86,15.0|13.5|1.3
"TOY6362","Handmade Yoyo",10.28,9.6|5.9|3.4
"HOM6372","Mega Toaster",17.04,19.6|10.4|5.3
"DLI6373","Salted Whitefish Salad",1.13,18.0|11.6|10.3
"TOY6383","Mechanical Hebrew Blocks",3.09,19.0|12.0|0.6
"COL6395","Noah's Action Figure (blue)",16.09,17.3|7.4|0.5
"TOY6398","Disney Slinky",8.31,8.1|8.0|6.0
"HOM6412","Toy Radio (blue)",12.83,17.9|13.6|3.0
"HOM6420","Vintage Widget (amber)",7.51,14.3|9.2|2.7
"HOM6436","Vintage Widget (puce)",7.47,14.7|10.5|4.2
"TOY6449","Super Stickers",1.03,15.4|3.8|2.3
"HOM6451","Toy Machine (orange)",21.77,18.7|12.1|2.8
"COL6454","Noah's Gift Box (green)",2.61,15.5|12.7|2.9
"CMP6456","Wireless Webcam",27.27,16.0|11.6|8.9
"HOM6458","Manual Crockpot",54.05,13.9|10.8|9.5
"HOM6460","Mini Crockpot (puce)",67.69,6.0|3.3|0.1
"HOM6462","Mini Widget",5.03,11.4|7.4|6.2
"HOM6463","Mechanical Timer",5.87,14.2|9.4|1.2
"TOY6469","Manual Ball",3.10,15.5|7.6|0.3
"DLI6472","Salted Herring Sandwich",0.78,11.0|1.6|1.6
"TOY6476","Disney Silly Bandz",8.45,9.4|1.6|0.3
"HOM6483","Mini Crockpot",72.34,18.8|15.8|15.3
"DLI6486","Dilled Herring Sandwich",1.13,18.8|8.3|8.2
"COL6487","Noah's Lunchbox (puce)",8.82,20.0|1.8|0.8
"PET6492","Dry Cat Food, Beef & Beef",1.02,16.1|15.8|13.8
"TOY6492","Ultra Doll",10.15,7.4|7.3|3.3
"HOM6504","Toy Crockpot (purple)",47.37,9.4|7.7|2.7
"TOY6536","Super Silly Bandz",2.62,19.0|13.3|6.5
"HOM6543","Toy Widget (puce)",3.46,19.0|14.6|13.1
"HOM6550","Mini Radio (azure)",18.56,7.6|7.4|7.0
"BKY6568","Caraway Puff",1.10,20.0|8.3|2.7
"CMP6571","Network Keyboard",45.83,16.7|9.9|4.6
"TOY6572","Tonka Yoyo",5.57,11.5|7.3|3.7
"PET6601","Wet Cat Food, Chicken & Chicken",1.08,11.3|3.2|1.6
"HOM6609","Mini Blender (white)",56.92,15.1|5.2|1.8
"HOM6646","Toy Crockpot (yellow)",42.35,19.7|11.9|6.0
"HOM6654","Vintage Blender (magenta)",77.04,17.2|5.4|2.3
"TOY6656","Mechanical Stickers",0.96,12.3|7.7|6.6
"CMP6658","Womens Modem",73.92,16.2|16.1|8.7
"TOY6672","Manual Airplane",12.29,19.5|12.5|9.3
"HOM6682","Toy Radio (yellow)",14.37,14.7|7.2|1.3
"COL6685","Noah's Lunchbox (purple)",8.94,13.7|5.7|5.3
"PET6722","Vegan Adult Cat Food, Beef & Beef",1.54,18.6|15.5|5.2
"CMP6724","Womens Monitor",109.53,19.2|15.5|6.8
"HOM6725","Toy Timer (green)",5.55,10.2|6.5|3.9
"TOY6735","Power Dreidel",3.01,17.9|17.4|12.5
"COL6738","Noah's Jewelry (blue)",30.06,19.3|9.5|4.6
"CMP6764","Womens Phone",367.39,11.1|11.0|6.7
"BKY6777","Sesame Bagel",0.99,19.7|19.3|2.3
"HOM6790","Vintage Bicycle (red)",109.01,14.0|10.0|8.9
"COL6796","Noah's Lunchbox (amber)",9.95,11.3|2.8|0.8
"HOM6804","Electric Radio",18.21,10.2|8.9|1.4
"HOM6841","Electric Mixer",108.09,15.7|15.3|7.4
"HOM6848","Mini Crockpot (mauve)",65.94,10.6|5.5|3.7
"TOY6849","Toy Doll",6.36,11.9|4.7|3.2
"HOM6863","Rug Cleaner",1.64,17.2|13.7|8.1
"TOY6864","Toy Fidget Toy",0.67,12.4|12.2|6.9
"TOY6865","Disney Blocks",13.32,7.5|4.8|1.4
"HOM6876","Toy Crockpot (azure)",52.88,18.9|13.2|3.3
"HOM6891","Toy Mixer (magenta)",73.81,9.8|8.0|4.9
"HOM6895","Vintage Toaster (white)",27.89,9.7|6.9|0.7
"COL6899","Noah's Action Figure (orange)",14.81,12.9|1.3|0.6
"HOM6912","Mini Crockpot (red)",67.39,15.0|13.2|2.9
"PET6950","Wet Senior Cat Food, Duck & Duck",1.05,18.5|7.2|6.3
"HOM6980","Mini Bicycle (red)",89.50,14.3|12.3|9.9
"PET6996","Wet Senior Cat Food, Shrimp & Shrimp",0.99,7.9|6.9|0.1
"HOM7002","Vintage Radio (azure)",34.58,15.8|11.5|2.5
"BKY7005","Caraway Twist",1.12,8.7|4.9|3.2
"COL7008","Noah's Jersey (red)",9.15,16.7|12.5|9.2
"TOY7034","Toy Yoyo",3.16,14.7|14.6|6.1
"TOY7036","Tonka Slinky",3.26,13.4|11.1|0.4
"PET7048","Fish",0.89,19.6|19.0|7.8
"PET7059","Vegan Adult Cat Food, Chicken & Chicken",1.70,7.8|7.2|7.1
"TOY7061","Mega Fidget Toy",0.97,10.0|8.0|5.6
"CMP7062","Network Modem",73.27,15.3|12.6|0.8
"DLI7078","Borscht Soup",0.93,19.3|18.5|12.0
"TOY7081","Mini Toy Soldier",11.59,15.4|15.2|0.3
"COL7086","Noah's Gift Box (amber)",2.87,16.3|15.1|4.0
"TOY7086","Lego Board Game",20.30,7.1|3.3|0.3
"HOM7098","Vintage Crockpot (purple)",99.71,19.4|6.5|2.6
"COL7106","Noah's Jersey (amber)",11.20,16.5|12.0|8.6
"TOY7107","Noah's Hebrew Blocks",3.12,18.6|6.8|1.1
"HOM7107","Mini Widget (purple)",6.41,6.9|6.6|5.0
"PET7115","Dry Adult Cat Food, Beef & Beef",0.97,8.9|8.5|8.1
"BKY7125","Raspberry Mandelbrot",0.92,15.2|6.6|6.4
"COL7133","Noah's Poster (red)",4.15,18.0|16.6|10.6
"HOM7133","Mini Toaster (amber)",20.36,17.6|14.7|1.0
"TOY7150","Star Wars Crayons",6.57,8.9|7.0|0.0
"PET7161","Vegan Adult Cat Food, Shrimp & Shrimp",1.58,17.1|11.3|1.6
"CMP7167","Cellular Keyboard",54.04,17.8|16.5|16.2
"PET7169","Vegan Cat Food, Pumpkin & Pumpkin",1.43,19.4|16.4|6.6
"CMP7197","Womens Router",86.76,11.5|6.5|2.7
"PET7200","Gluten-free Senior Cat Food, Shrimp & Shrimp",1.74,14.2|10.1|5.1
"TOY7205","Disney Fidget Toy",3.17,10.4|7.0|1.5
"HOM7212","Mini Timer (purple)",8.15,9.8|5.4|4.5
"HOM7227","Ultra Bicycle",63.41,19.4|5.6|5.3
"HOM7253","Mini Mixer (magenta)",110.38,19.7|18.9|7.6
"TOY7276","Mechanical Fidget Toy",0.90,17.8|9.4|1.3
"DLI7277","Smoked Egg Sandwich",1.07,16.8|6.3|1.3
"PET7299","Dry Senior Cat Food, Shrimp & Shrimp",1.06,17.5|8.9|2.8
"HOM7301","Ultra Toaster",20.50,17.1|16.5|13.8
"TOY7303","Mini Slinky",2.29,11.4|10.6|3.0
"TOY7306","Lego Fidget Toy",1.39,19.8|12.6|1.1
"CMP7379","Bluetooth Camera",73.20,12.4|6.6|3.5
"COL7392","Noah's Bobblehead (red)",3.92,14.9|14.5|6.5
